time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.073986,-0.233996,0.404837,0.120073,0.002852,0.012938,0.092312,-0.016461,-0.011143,-0.575013,0.159262,0.092871,0.227950,-0.053569,0.073203,0.001861,-0.782529,-0.001079,-2.355914,-0.003707,1.576297,0.774435,0.000437,0.018349,0.000451,0.000608,0.000090,-0.000765,-0.000493
0.075005,-0.237847,0.404287,0.119778,0.003064,0.012908,0.093388,-0.016688,-0.011236,-0.567200,0.160389,0.090839,0.227500,-0.052577,0.073102,0.001858,-0.782504,-0.001081,-2.355912,-0.003706,1.576299,0.774435,-0.000823,0.019860,0.000135,0.000288,0.001211,0.000203,-0.000108
0.076012,-0.240787,0.404838,0.124156,0.002892,0.013016,0.094035,-0.017062,-0.012107,-0.558939,0.159904,0.087778,0.226886,-0.051770,0.073038,0.001857,-0.782483,-0.001077,-2.355912,-0.003707,1.576299,0.774434,-0.000507,0.020433,0.001202,0.000233,0.000378,0.000341,-0.000082
0.077105,-0.245946,0.404081,0.125504,0.002065,0.011268,0.094924,-0.016652,-0.013306,-0.552100,0.158513,0.084730,0.226189,-0.051090,0.072994,0.001857,-0.782463,-0.001081,-2.355911,-0.003706,1.576299,0.774435,-0.000645,0.020470,-0.000033,0.000573,-0.000582,0.000902,0.000244
0.078092,-0.246879,0.404879,0.128988,0.003496,0.010489,0.096796,-0.017754,-0.014535,-0.546288,0.157050,0.081216,0.225458,-0.050588,0.072967,0.001860,-0.782440,-0.001079,-2.355908,-0.003705,1.576301,0.774432,0.000152,0.021179,0.000299,0.001502,0.000262,0.001302,-0.001036
0.079143,-0.252060,0.402813,0.126767,0.003694,0.011146,0.098131,-0.017302,-0.015548,-0.541398,0.156140,0.077242,0.224738,-0.050233,0.072959,0.001857,-0.782420,-0.001081,-2.355909,-0.003704,1.576300,0.774436,-0.000945,0.021076,-0.000521,0.000257,0.000199,0.000605,0.000768
0.080017,-0.253377,0.402808,0.130265,0.003904,0.008890,0.099012,-0.018089,-0.016468,-0.538421,0.155385,0.074097,0.224053,-0.049849,0.072975,0.001859,-0.782394,-0.001076,-2.355909,-0.003706,1.576302,0.774432,-0.000040,0.022395,0.001523,0.000247,-0.001328,0.000517,-0.000591
0.081088,-0.256511,0.404737,0.132945,0.003602,0.008900,0.099817,-0.018404,-0.017748,-0.538304,0.153805,0.072612,0.223365,-0.049346,0.073000,0.001858,-0.782370,-0.001079,-2.355909,-0.003704,1.576301,0.774435,-0.000777,0.022574,0.000592,0.000183,0.000206,0.000687,0.000628
0.082047,-0.259272,0.403892,0.136773,0.004990,0.008035,0.102224,-0.017994,-0.018995,-0.539787,0.152052,0.071859,0.222697,-0.048814,0.073012,0.001858,-0.782349,-0.001079,-2.355908,-0.003709,1.576304,0.774438,-0.000917,0.021942,0.000253,0.000627,-0.000676,0.001149,0.000790
0.083036,-0.264753,0.405004,0.137482,0.005521,0.006013,0.102559,-0.017786,-0.019373,-0.541339,0.151640,0.071135,0.222151,-0.048291,0.072992,0.001856,-0.782325,-0.001081,-2.355909,-0.003707,1.576303,0.774437,-0.001045,0.022618,-0.000757,-0.000574,-0.000624,-0.000124,-0.000444
0.084077,-0.269288,0.405586,0.138439,0.005083,0.005507,0.104041,-0.018395,-0.019053,-0.543238,0.152556,0.071135,0.221731,-0.047683,0.072920,0.001859,-0.782302,-0.001079,-2.355909,-0.003705,1.576307,0.774432,0.000087,0.022329,-0.000201,-0.000931,0.000568,0.000716,-0.001251
